날짜,제목
2021.05.13,전반적인 코인 장세 분석
2021.05.05,주식 존버 10년
2021.05.04,요즘은 수익인증이 별로 없으시네요 ~
2021.05.04,지금 상황 잘 판단하셔야 할것 같아요
2021.05.03,(퍼옴)(정보) 업비트 코인 집대성 엑셀파일 완성
2021.05.03,퍼옴 업비트 상장 코인 전체 조사
2021.05.03,차트로 매매 하시는분들 참고하세요.
2021.05.03,몇몇 단타 하시는분들 참고가 될까해서 몇자 적어 ...
2021.05.02,주말 다들 잘보내셨는지요?
2021.05.01,얼마전 폭락장에 멘탈 잡아드리지 못해 죄송합니다
2021.05.01,다들 즐거운 주말 보내고 계신지요?
2021.04.29,더듬당엔 정신병자만 있는게 확실
2021.04.29,대 상승장 예측합니다.
2021.04.29,악재는 이제 다 드러난거 같네요.
2021.04.29,후방의 민족님. 머니넷좋아님께
2021.04.29,yo님
2021.04.29,머니넷 회원님들과 머니넷 좋아님 보세요
2021.04.29,그동안 많은 일들이 있었네요.
2021.04.28,지금 상황이
2021.04.27,예전엔 게시판 글 엄청 많았는데...
2021.04.27,퍼옴 가상화폐 세금 이건 꼭 알아두세요.
2021.04.26,저녁 비트 분석
2021.04.26,도움 받을 분들을 위해
2021.04.26,뚫었네요 ~
2021.04.26,대장 차트
2021.04.25,호재 은성수 금융경제 기획 위원장 자진사퇴청원 1...
2021.04.25,대장 현 차트
2021.04.25,술많이 먹고있습니다
2021.04.24,조정 마무리 즈음인듯한데...
2021.04.24,정치권놈들
2021.04.24,태클 거는사람들한테
2021.04.24,추매에 대해서
2021.04.23,지금 상황만 간단히 적어보구요
2021.04.23,몰빵의 위험성과 하락장의 위험성
2021.04.23,불황은 또한 기회다. -워렌 버핏
2021.04.23,업비트 삭제
2021.04.23,오랜시간
2021.04.23,웃기는정부
2021.04.22,김프빠지는데 대하락이라하는사람들 얼척이엄다
2021.04.21,(펌)코인 가격을 결정 짓는 요인들
2021.04.20,술많이 먹었습니다
2021.04.20,향후 횡보속 세력주도장이 되지않을까 싶네요
2021.04.20,물리신분들 이거보고 힘냅시다
2021.04.20,야동을 보며
2021.04.20,추세기반 피보나치와 비트코인
2021.04.19,아는행님 찬스
2021.04.19,4월 19일 리플 vs SEC 소송 일반 투자자 참여 해설...
2021.04.19,전합니다~
2021.04.18,이게 머선 129
2021.04.16,도지
2021.04.16,btt 19일 주목
2021.04.15,끄지라
2021.04.13,다들 많이 부러워하시는데 많이 부서지고 깨지고 ...
2021.04.13,장이 참 애매하죠? 그리고 서로 상호 비방하지 말아요
2021.04.12,고인물이 보는 현 상황 해결법
2021.04.12,코베 상장코인50개 정도중에 1조시총 미만의 코인들...
2021.04.12,트론 풀매수 (bye)
2021.04.11,역전
2021.04.11,아 정권교체가답입니다
2021.04.09,게시판에
2021.04.09,다행히 지지선에서 반등을 해주며 안정을 찾았네요
2021.04.08,오늘 추가하락은 빗썸이 원인인듯
2021.04.07,여기서 의견이 분분하죠
2021.04.07,다들 걱정 많으시죠?
2021.04.07,비토 풀매수 타이밍 나왔다
2021.04.07,메이져 알트 키 맞추기 들어갔네요.
2021.04.06,다들 행복에 겨워하는게 눈에 선하네요.
2021.04.05,다들 행복하시죠?
2021.04.05,지금 우리가 조심해야 할 사항
2021.04.04,btt 호가 변경
2021.04.03,비트토렌트에 대한 개인생각
2021.04.01,코린이 여러분 그동안 고생 많으셨어요.
2021.04.01,4월 코인...
2021.04.01,비트가 계속된 호재로 힘을 내고 있네요.
2021.04.01,이제 4월!
2021.03.31,"부리형, 안개형"
2021.03.30,SANDBOX
2021.03.29,다행히 제 생각데로 비트가 바닥 다지고 다시 상방...
2021.03.29,어제 제가 추천드린 클레이 3대장 매수하신분 축하...
2021.03.29,샌드박스 투자자 필독
2021.03.29,머니넷 3대장
2021.03.28,비트가 봄날 새싹처럼 다시 피어오르고 있네요
2021.03.27,코인 참 어렵죠?
2021.03.25,각종 퍼드 나오는거 보니 거의 바닥인듯 하네요
2021.03.24,머스크 트위터
2021.03.23,비트코인캐시 분석
2021.03.22,저 때문에 눈물 흘리는 코린이를 찾습니다
2021.03.20,미국 개미들도 잡코만 건드리는거 같네요
2021.03.18,Fomc 결과도 좋게나오고 미개미들 들어올 시점입니다
2021.03.18,리스크 코인
2021.03.17,놓친부분 없나 체크 중
2021.03.17,비캐분석글 잠시 안올렸었습니다.
2021.03.16,아버지의 생각
2021.03.15,엘리어트 파동으로 본 단기 분석
2021.03.15,"[노하우] 바닥짚기, 추세전환, 거래량"
2021.03.14,차트로 보는 펀디엑스
2021.03.14,마지막 인사 드립니다
2021.03.13,예상보다 빠르게 전고를 뚫었네요
2021.03.13,오늘도 나의 의견이 궁금한가
2021.03.12,상승장 다가오니 좋은글들 많이 보이네요
2021.03.12,비트코인 주간전망
2021.03.12,혹시 나의 의견이 궁금한 사람이 있는가
2021.03.11,대폭락장이 나타난다면
2021.03.11,비트코인 혹시 조정 범위
2021.03.10,상승장 시작되었네요.
2021.03.09,다행히 좋은 흐름 나와주고 있네요
2021.03.09,머니넷 회원님들 힘내시고 이번 사이클을 즐겨보세요~!
2021.03.07,자... 또한번 달려볼까요?
2021.03.06,미국 파월의 발언으로 잠시 주춤했던 코인이 바닥...
2021.03.05,미국채 금리 상승과 비트코인의 가격(펌)
2021.03.03,비트가 다시 힘을 내주고 있네요.
2021.03.03,구걸의 실체
2021.03.02,현재시간 3월2일 새벽 2:30
2021.03.02,2분기를 주도할 코인들
2021.03.01,다들 걱정이 많으리라봅니다
2021.02.26,지금상황이 좀
2021.02.26,리딩이냐고 묻는분께 안타까워 한마디 써봅니다.
2021.02.25,다들 지금 초조해 하시는거 같아 몇자 적어봅니다
2021.02.24,구걸글 쓰는 최문선씨의 실체
2021.02.24,26일 오후부터 가능하면들어가길
2021.02.23,4년차 눈치밥 코린이 생각
2021.02.23,다들 위기 관리 못하고 존버 한다는 사람들이 많은...
2021.02.22,다들 멘탈 많이 흔들리나봐요
2021.02.21,멘탈 잡아준다!!!!
2021.02.20,이더 vs 비캐
2021.02.20,3개월간 암호화폐 투자 후기
2021.02.20,코인의 미래와 현상황(긴글주의)
2021.02.20,지금 하락장에 놀랐을 코린이에게
2021.02.20,밤새 못 주무셨을 코린이들 보세요.
2021.02.19,다행히 흐름이 나와주고 있네요
2021.02.19,오늘까지는 비트가 말아 올릴거로 보이며 알트는 내...
2021.02.19,다들 놀라고 계시죠?
2021.02.19,제 예상대로 메이져로 매기가 쏠립니다
2021.02.18,오늘 무지 아래위로 흔드네요
2021.02.18,지금 차익실현 할가말까 망설이는 분 리스크 관리 ...
2021.02.18,오늘도 코인들은 힘차게 달리네요
2021.02.17,2월17일자 비캐분석 2탄
2021.02.17,모든 지표가 상승을 가리키고 있네요
2021.02.17,현재까지는 예상데로 잘 흘러가네요
2021.02.17,조만간 알트 급등장 예상됩니다
2021.02.17,비트가 5만불 달성하고도 밀리지 않는거 보니 매수 ...
2021.02.17,2월17일자 비캐분석
2021.02.16,커뮤니티 분위기가 불장 한번오고나니 밝아졌네요.
2021.02.16,2월16일자 비캐분석
2021.02.15,2월15일자 비캐분석 3탄 최종정리
2021.02.15,2월15일자 비캐분석 2탄
2021.02.15,불안하신분들께 오랫만에 글올립니다.
2021.02.15,조만간 황사 머니 유입이 시작될거로 보이네요
2021.02.15,다들 설연휴 잘 보내셨는지요?
2021.02.14,1억
2021.02.14,2월14일자 비캐분석
2021.02.13,비캐에대한 소소한 분석
2021.02.13,다들 명절 잘 보내셨는지?
2021.02.12,주식과 평등하게 과세 청원동의
2021.02.11,내일이 구정 명절인데 다들 잘 보내고 있는지요?
2021.02.11,ㅋㅋㅋㅋ 이게 나란가?
2021.02.10,스텔라 안가는 이유 그러나 결국 폭등예상
2021.02.09,앞으로올 불장에서 지켜야할것
2021.02.09,현 시점에서 차익실현 하실분과 리스크 관리 하실...
2021.02.09,일론 머스크가 트리거가 됐네요
2021.02.08,주말 동안 40000을 뚫었지만 아직은 힘이 딸리네요
2021.02.06,40000을 부지런히 두드리고 있네요
2021.02.06,드디어 비트가 의미 있는 시세를 분출하려합니다
2021.02.05,비트 3800의 저항이 만만치 않네요.
2021.02.03,지금 장은 횡보정도라 보면 될거 같네요
2021.02.02,리플로 수익 내신분들 축하드리고요.
2021.02.01,많이 혼란스러우시죠?
2021.01.30,중국 춘절과 한국 설이 관건이긴하네요
2021.01.30,다행히 좋은 방향으로 매물대를 한번에 뚫어 주네요
2021.01.29,"(펌)세계 최대 헤지펀드 회장, 비트코인 상세 분석 ..."
2021.01.28,다들 멘탈이 흔들릴 정도로 하락하니 심란하시죠?
2021.01.27,상승 세력과 하락을 지지 하는 세력들의 싸움이 치...
2021.01.26,운영자님 “머니넷좋아”님의 글은 이 게시판의 가치...
2021.01.26,코인할때 필요한 덕목 3가지
2021.01.26,머니넷 관리자께서는 꼭 필독해 주세요
2021.01.25,운영자 양반
2021.01.25,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2021.01.25,4년차도 코린이라면서 겸손해 하시는분 당신은 코...
2021.01.23,눈쌀 찌푸려 지는 글들
2021.01.23,코인 투자시 유의 할점 몇가지 팁 드릴려고 합니다
2021.01.23,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2021.01.22,다들 심란하실거 같아 몇가지 희망적인 소식 드릴...
2021.01.21,제 글에 반응이 많은점 감사드립니다
2021.01.21,이것만 지켜도 자산은 지킨다
2021.01.21,당분간은 매매를 자제하는게 나을듯 합니다
2021.01.19,다들 초조해 하시는분들게
2021.01.14,코린이 여러분 초조하시죠? 보니 온갖 차트에 불...
2021.01.13,영정 먹음
2021.01.12,코린이 분들 몇가지만 팁 드릴게요
2021.01.11,떨어지는 근본적인 이유
2021.01.11,어제 오늘 폭락장에 당황하셨을 코린이분들게
2021.01.11,(펌)테더 리스크에 대해서 알아보자.txt
2021.01.11,월요일부터 정신 없을겁니다. 일희 일비 하지 마시길
2021.01.10,비트의 조정으로 알트가 한단계 레벨업 되었죠?
2021.01.08,주말동안 45000갈거 같네요
2021.01.08,다들 홀딩 하고 계시는지 장이 어렵죠?
2021.01.08,생각보다 빠르게 4만을 돌파했네요.
2021.01.07,멘탈 잘 잡으시고 목표가 설정하고 근처오면 차익 ...
2021.01.06,코인 순위 참고하세요. 이외 잡코인 쳐다보지 마세요
2021.01.06,언제 그랬냐 비웃듯 다시 원상태로 복구 되었네요
2021.01.06,비트가 복구력이 상당하네요
2021.01.05,지금 마진거래소등 각종 퍼드로 하락장 운운하는데
2021.01.05,간밤에 맘졸여 잠 못 주무시는분들께
2021.01.04,지금 손절은 의미 없으니 쳐다보지 마시고 그냥 무...
2021.01.04,긴 연휴 잘 보내셨는지요?
2021.01.03,장투로 고생분들 축하드립니다
2021.01.03,비트가 잠시 숨고르기 들어갔으니 점심 먹고 알트...
2021.01.02,신축년 새해 황소처럼 달려라
2020.12.31,올한해 다들 고생하셨어요
2020.12.29,여유 자금 있으신분은 이번조정에 매수해도 괜찮을듯
2020.12.29,올 년말 기쁨을 주고 마감할지
2020.12.27,알트시즌에 대한 견해~~
2020.12.27,또 언론이 떠들고 난리네요.
2020.12.25,메리 크리스마스 즐거운 성탄 보내세요.
2020.12.22,다들 많이 놀라신거 같네요.
2020.12.20,다 들 즐거운 주말 보내시고 계신가요?
2020.12.17,희망적인 분위기가 도래하니 게시판도 좋은 이야기 ...
2020.12.16,"(장기적으로) 비트, 리플은 계속 상승 할 수 밖에 ..."
2020.12.15,머니넷 공식 장애우 부커를 모르시는 분들을 위한 자료
2020.12.12,다들 불안 해 하시는거 같아 몇마디 드릴까 합니다
2020.12.11,리플 가격 예상 (ex 이더리움) 마진 비율 배팅
2020.12.09,안녕하세요.
2020.12.04,다들 급등장 급락장만 보다가 횡보하니 지루하시죠
2020.12.01,주말은 잘보내셨는지요?
2020.11.27,다들 걱정이 많으신거 같아 몇자 적어 봅니다.
2020.11.24,요즘 자주 글을 쓰게 되네요.
2020.11.23,여러분도 하실수 있어요
2020.11.23,지난 주말사이 많은일이 일어났네요.
2020.11.21,날씨는 많이 쌀쌀한데 비트는 후끈하죠?
2020.11.18,잘들 지내시는지요?
2020.11.05,다들 기쁘시죠?
2020.11.03,안녕하세요. 며칠 하락한다고 다들 난리네요.
2020.11.01,국밥먹고 한줄 써본다 암호화폐의 미래
2020.10.28,비트는 차질없이 순항하고 있네요.
2020.10.25,날씨도 좋고 비트도 씩씩하게 잘 나가네요
2020.10.21,역사는 반복된다. 이 말이 맞는거 같아요
2020.10.20,다들 고민할 시점이 다가오고 있네요
2020.10.19,머니넷 회원님들께
2020.10.17,남의 부모님 욕하는 인간의 최후는? 그러다 진짜 죽...
2020.10.14,어이
2020.10.13,다들 흐믓해 하실거 생각하니 기분이 좋네요.
2020.10.12,즐거운 연휴 보냈으리라 봅니다
2020.10.10,모처럼 즐거운 시간 보내실 분들에게
2020.10.09,안녕하세요. 다들 잘 지내시는지?
2020.10.06,연휴 다행히 상승 흐름이 나오네요.
2020.10.05,킹부커
2020.10.04,마지막 연휴 마무리 잘하셨는지?
2020.10.03,나도 아가리질좀 해봐야겠다
2020.10.02,뜻밖의 사태에 당황하셨죠?
2020.09.28,사실만 놓고 보면 그렇습니다.
2020.09.18,연속 적중! 실력 인증 합니다
2020.09.07,부커 근황
2020.09.06,비트코인 cme갭 알려드려요
2020.08.26,국민들이 의사 파업에 동의하기 힘든이유
2020.08.22,머니넷 네임드 정리
2020.08.17,머니넷 관리자 분께.
2020.08.08,비트코인 단기 예상
2020.08.07,형들 고마워
2020.08.07,형들 나 사토시
2020.08.04,게시판에 물의를 일으켜 죄송합니다.
2020.08.03,어.. 나도 아닌데?
2020.08.01,1인2역 자칭 양방향 트레이더 아수라백작
2020.07.31,부고 소식
2020.07.31,제발 좀 개념은 가지고 얘기합시다
2020.07.27,우리나라 경제가 더 안좋아지는 이유
2020.07.22,가상화폐 과세 될 시기 정도면
2020.06.24,증세정책을 그렇게 욕하더니
2020.06.22,문재앙 쓰레기놈
2020.06.13,[1편] 거래소 직원이 보는 코인시장 (펌)
2020.06.10,진정한 스캠은 문재앙이다.
2020.06.04,지금 현재 상황 정리
2020.05.25,위안부 할머니 한분이 토착왜구가 되셨습니다 ㅋㅋㅋ
2020.05.17,한국을 제일 깔보는 나라
2020.05.15,5월 15일 비트코인 분석
2020.05.14,5월 14일 비트코인
2020.05.10,왜 이렇게 이번 정부 가지고 싸우지..
2020.05.09,당신이 오늘 당장 비트코인을 팔아야하는 이유(펌)
2020.05.09,나 정치글 올리고 감옥 갔다올께
2020.05.08,과거 반감기는 어땠을까
2020.05.07,고점과 저점을 높혀가는 과매수 영역의 시장
2020.05.06,감사합니다.
2020.05.04,죄송합니다
2020.04.29,지금 해야될 일
2020.04.27,정의는 승리한다
2020.04.22,여러분 공중변소 라고 생각하고 이용해주세요
2020.04.20,모두에게 사랑받게 더 열심히 활동하겠다.. 오케이??
2020.04.16,민주당 압승
2020.04.15,모두들 투표하고 코인질 하자.. 오케이?
2020.04.13,먼저 떠나는 한 코인러의 마지막 인사말..
2020.04.13,오케이 드립 진짜 개노잼이네 그만해라
2020.04.08,저녁 브리핑
2020.04.07,저녁 브리핑
2020.04.07,최근 장으로 비트 120개 달성
2020.04.07,(인생꿀팁) 야들아 코인도 좋지만 청약들해라
2020.04.04,킹부커와 $욱 동일 인물로 생각하는지에 대한 투표!!
2020.04.02,점심 브리핑
2020.04.02,모닝 브리핑
2020.03.25,내가 하는 거래방법
2020.03.23,미증시 폭락과 비트코인 수백억 시나리오...
2020.03.21,법정화폐를 버려야 하는 이유
2020.03.19,비트코인 달러 교환 용도로 사용 가능성
2020.03.17,장펑자오가 말하는 비트코인 0원되는날
2020.03.16,앞으로의 2020년 모습
2020.03.16,비트코인 바닥은 어디일까? 차트분석 (장문주의)
2020.03.14,이 글을 본 당신은
2020.03.14,예언가 비트동향 브리핑 7k기준
2020.03.13,자랑스러운 대한민국
2020.03.12,역대 하락장 조정장 비교 (펌)
2020.03.11,"음모론 역사상 최고의 거품경제 , 그리고 비트코인"
2020.03.11,렙틸 활동 안하는거보니
2020.03.09,마스크마저 짜고치는 개라석들
2020.03.08,반감기 빅뱅 터질 가능성
2020.03.06,한국은 코로나 사실상 전국이 간염된듯
2020.03.06,이런 버러지 같은놈들을 친구라며..
2020.03.05,좀 섭섭하네
2020.03.05,우리 모두 기생충이 되었다.
2020.03.04,세계 경제가 진짜 ㅈ된게
2020.03.03,"다우, 나스닥, S&P500, 비트코인 모두 같은 움직임"
2020.03.03,거래소에서 전화오면 무조건 출금부터해라
2020.03.03,"업비트 가두리, 프리미엄 정리."
2020.03.02,코인이 2억에서 2천될 때 내 곁을 지켜준 여자친구.
2020.03.02,"""코로나 불황, 금융위기로 번질 수 있다""..."
2020.03.02,시총 100위권+@ 대충 개인평(지극히 개인적) 1편 (펌)
2020.03.02,필독) 문슬람 댓글공작 저격
2020.03.02,문재인 대통령님의 탄핵을 막아야 합니다
2020.03.01,차이나게이트 실체 드러나죠~
2020.03.01,정치글 쓰지말라는 인간들 특징
2020.02.29,정치글좀 쓰지말라고요
2020.02.29,방역도 입으로만 한것인가??
2020.02.29,[안혜리의 시선] 나라 전체가 세월호다
2020.02.28,와 머니넷에도 조선족이 많았나보네
2020.02.28,리플은 2026년부터 시작이다 지루하지만 참고 존버...
2020.02.28,지금이 비트 상승세인이유 (마지막으로 언급하고 이...
2020.02.28,지루한 글 2탄: 장기 투자가 아니라 노름하러 온 사...
2020.02.26,베스트게시판이 이게 뭡니까
2020.02.26,테조스 홍보까지는 바줄만했다
2020.02.26,문재인 대통령의 탄핵 청원 게시판입니다.
2020.02.26,"쓸데없지만 단기파동(비트코인, 비캐)"
2020.02.26,허허허 여러분 그동안 즐거웠습다 촵촵촵
2020.02.25,문제인 탄핵되나요
2020.02.25,트뷰]이제 600일동안 불장온다.
2020.02.24,중국. 한국인 입국시 격리 ㅋㅋ
2020.02.24,비캐 및 비트코인 반감기 개인 시나리오
2020.02.24,비트코인 반감기. 가격과 해시레이트
2020.02.23,대게문시바새끼
2020.02.23,알트코인 투자 주의사항
2020.02.23,운영자한테 상담받았다. 정치얘기 경고없이 정지시...
