날짜,커뮤니티_변동성_전체,커뮤니티_변동성_크기,커뮤니티_변동성_방향
2021.04.30.,0.5087719298245614,,0.32
2021.04.29.,0.02857142857142857,1.0,-0.2
2021.04.28.,-0.02040816326530612,0.5714285714285714,-0.5238095238095238
2021.04.27.,0.0625,0.14285714285714285,-0.037037037037037035
2021.04.26.,0.625,0.4285714285714286,0.5686274509803921
2021.04.24.,1.0,0.7142857142857144,0.2
2021.04.23.,0.25,1.0,0.14285714285714285
2021.04.22.,0.42857142857142855,1.0,-0.25
2021.04.20.,-0.3333333333333333,1.0,-0.5555555555555556
2021.04.19.,-0.3333333333333333,1.0,-0.3333333333333333
2021.04.18.,-0.7142857142857143,1.0,-0.3333333333333333
2021.04.16.,0.09090909090909091,1.0,-0.24
2021.04.15.,-0.06666666666666667,0.0,-0.8888888888888888
2021.04.14.,0.375,1.0,-0.5555555555555556
2021.04.13.,0.6666666666666666,0.33333333333333337,0.6666666666666666
2021.04.12.,0.0,-0.33333333333333326,-0.10416666666666663
2021.04.09.,-0.058823529411764705,-1.0,-0.875
2021.04.08.,0.3333333333333333,1.0,0.2727272727272727
2021.04.07.,0.0,1.0,-0.42857142857142855
2021.04.06.,0.0,1.0,-0.7777777777777778
2021.04.05.,0.5471698113207547,-1.0,0.22330097087378642
2021.04.04.,0.23809523809523808,1.0,0.3333333333333333
2021.04.03.,-1.0,0.9166666666666666,-1.0
2021.04.02.,0.6666666666666666,0.8333333333333334,0.8333333333333334
2021.04.01.,0.0,0.75,-0.30434782608695654
2021.03.31.,0.0,-0.125,0.25
2021.03.30.,0.0,-1.0,1.0
2021.03.29.,0.8461538461538461,-1.0,-1.0
2021.03.27.,-0.6666666666666666,-1.0,0.25
2021.03.25.,-0.3333333333333333,0.0,-0.5
2021.03.24.,0.0,0.25,0.0
2021.03.23.,-0.14285714285714285,0.5,0.42857142857142855
2021.03.22.,-1.0,0.75,-1.0
2021.03.21.,0.42857142857142855,1.0,0.25
2021.03.20.,-0.1,0.0,-0.5555555555555556
2021.03.19.,1.0,1.0,0.45454545454545453
2021.03.18.,-0.7714285714285715,1.0,-0.68
2021.03.17.,1.0,1.0,0.3333333333333333
2021.03.16.,1.0,1.0,1.0
2021.03.15.,-1.0,0.0,-1.0
2021.03.14.,-1.0,-1.0,1.0
2021.03.13.,0.42857142857142855,0.42857142857142855,-0.15789473684210525
2021.03.12.,0.5714285714285714,0.6190476190476191,1.0
2021.03.11.,0.7142857142857143,0.8095238095238095,-0.14285714285714285
2021.03.10.,0.45454545454545453,1.0,-0.18518518518518517
2021.03.09.,0.0,1.0,0.125
2021.03.08.,-0.21052631578947367,-1.0,0.4634146341463415
2021.03.05.,-0.8,-1.0,-0.6666666666666666
2021.03.04.,-1.0,1.0,-1.0
2021.03.03.,0.7777777777777778,1.0,0.3333333333333333
2021.03.02.,-1.0,1.0,-1.0
2021.03.01.,1.0,1.0,-1.0
2021.02.28.,-0.5,1.0,-0.5
2021.02.27.,-0.21666666666666667,1.0,-1.0
2021.02.26.,0.06666666666666667,1.0,-0.2727272727272727
2021.02.25.,-1.0,0.7037037037037037,1.0
2021.02.24.,1.0,0.40740740740740744,1.0
2021.02.23.,-0.03225806451612903,0.1111111111111111,-0.4666666666666667
2021.02.22.,-0.5789473684210527,0.42857142857142855,-0.6363636363636364
2021.02.21.,0.5121951219512195,0.0,0.10344827586206896
2021.02.20.,-0.625,0.5,-0.8461538461538461
2021.02.19.,0.5,-1.0,0.42857142857142855
2021.02.18.,-0.3333333333333333,1.0,0.3333333333333333
2021.02.17.,0.5,1.0,0.5
2021.02.16.,1.0,1.0,0.5
2021.02.15.,-0.2,0.3333333333333333,-0.8888888888888888
2021.02.14.,0.6923076923076923,1.0,0.3333333333333333
2021.02.13.,-1.0,1.0,-1.0
2021.02.12.,0.3333333333333333,1.0,0.6
2021.02.11.,0.125,1.0,0.23076923076923078
2021.02.10.,-0.21428571428571427,0.4,-0.27102803738317754
2021.02.09.,-0.3,0.0,-0.5294117647058824
2021.02.08.,0.85,0.3333333333333333,0.0
2021.02.06.,1.0,0.2777777777777778,1.0
2021.02.05.,0.3333333333333333,0.2222222222222222,1.0
2021.02.04.,-1.0,0.16666666666666666,-0.3333333333333333
2021.02.03.,1.0,0.1111111111111111,0.3333333333333333
2021.02.02.,0.5,0.055555555555555525,0.7142857142857143
2021.02.01.,0.05263157894736842,0.0,0.3333333333333333
2021.01.31.,-0.5555555555555556,1.0,-1.0
2021.01.30.,-0.8095238095238095,-1.0,-0.7333333333333333
2021.01.29.,0.2,-1.0,-0.3333333333333333
2021.01.28.,-0.6666666666666666,-1.0,0.3333333333333333
2021.01.27.,-0.3157894736842105,0.1111111111111111,-0.15151515151515152
2021.01.26.,0.09090909090909091,1.0,-0.23076923076923078
2021.01.25.,-0.3333333333333333,-0.3333333333333333,0.3684210526315789
2021.01.23.,-0.2,0.13333333333333336,0.0
2021.01.22.,0.47058823529411764,0.6,0.07692307692307693
2021.01.21.,-0.3333333333333333,1.0,-0.3333333333333333
2021.01.20.,0.5,1.0,-0.3333333333333333
2021.01.19.,1.0,1.0,1.0
2021.01.18.,-1.0,1.0,1.0
2021.01.17.,-0.2,1.0,-0.5555555555555556
2021.01.16.,-0.5,0.4,0.0
2021.01.15.,-0.7254901960784313,-0.2,-0.6363636363636364
2021.01.14.,1.0,0.39999999999999997,0.5
2021.01.13.,0.75,1.0,-0.25
2021.01.12.,-0.7857142857142857,1.0,-0.375
2021.01.11.,-1.0,0.0,-1.0
2021.01.10.,-1.0,1.0,-1.0
2021.01.09.,-1.0,0.8,-1.0
2021.01.08.,0.3515981735159817,0.6,0.18781725888324874
2021.01.07.,0.2,1.0,-0.3333333333333333
2021.01.06.,-0.15492957746478872,-0.058823529411764705,-0.08
2021.01.05.,-0.1320754716981132,1.0,0.48936170212765956
2021.01.04.,0.043478260869565216,0.3333333333333333,-0.3
2021.01.03.,0.25,1.0,0.07692307692307693
2021.01.01.,1.0,1.0,0.5
2020.12.31.,-1.0,1.0,0.5
2020.12.30.,0.6,1.0,0.0
2020.12.29.,-0.16666666666666666,0.33333333333333337,0.25
2020.12.28.,1.0,-0.33333333333333326,1.0
2020.12.26.,0.7142857142857143,-1.0,0.42857142857142855
2020.12.25.,0.6,-0.33333333333333337,-1.0
2020.12.24.,0.3384615384615385,0.33333333333333326,-0.75
2020.12.23.,0.07692307692307693,1.0,-0.5
2020.12.21.,-1.0,1.0,-1.0
2020.12.20.,0.0,1.0,-1.0
2020.12.17.,0.5609756097560976,1.0,0.03225806451612903
2020.12.16.,0.2,1.0,0.42857142857142855
2020.12.15.,0.058823529411764705,1.0,0.23076923076923078
2020.12.13.,0.0,0.9487179487179487,0.0
2020.12.12.,1.0,0.8974358974358975,0.75
2020.12.11.,-0.2676056338028169,0.8461538461538461,-0.34959349593495936
2020.12.09.,1.0,0.3048433048433048,1.0
2020.12.08.,-0.3333333333333333,-0.23646723646723655,-0.75
2020.12.06.,-0.02857142857142857,-0.7777777777777778,0.08196721311475409
2020.12.04.,0.07692307692307693,1.0,-0.1
2020.12.02.,0.0,-1.0,1.0
2020.12.01.,-1.0,0.0,-1.0
2020.11.29.,0.16417910447761194,1.0,0.05555555555555555
2020.11.28.,-0.5,1.0,-0.23076923076923078
2020.11.27.,-0.41666666666666663,1.0,-1.0
2020.11.26.,-0.3333333333333333,1.0,-0.5
2020.11.25.,0.125,1.0,0.3333333333333333
2020.11.24.,0.8571428571428571,0.0,0.5384615384615384
2020.11.23.,-0.5,0.0,-1.0
2020.11.22.,1.0,0.0,-0.6
2020.11.21.,0.0,0.0,-1.0
2020.11.19.,-0.3333333333333333,-1.0,1.0
2020.11.18.,0.2,-1.0,0.7142857142857143
2020.11.17.,0.75,-1.0,0.5384615384615384
2020.11.16.,0.0,0.0,1.0
2020.11.13.,0.3333333333333333,1.0,0.5
2020.11.12.,1.0,0.8666666666666667,1.0
2020.11.11.,1.0,0.7333333333333333,0.5
2020.11.10.,-0.5,0.5999999999999999,-0.6666666666666666
2020.11.08.,1.0,0.46666666666666656,1.0
2020.11.07.,-0.41379310344827586,0.3333333333333333,-0.30434782608695654
2020.11.06.,-0.5,-0.3333333333333333,0.7142857142857143
2020.11.05.,1.0,1.0,1.0
2020.11.04.,1.0,1.0,1.0
2020.11.03.,1.0,1.0,1.0
2020.10.31.,1.0,0.75,0.5
2020.10.30.,-0.3191489361702128,0.5,-0.2857142857142857
2020.10.29.,0.75,0.75,0.5
2020.10.28.,-0.3333333333333333,1.0,-0.5
2020.10.27.,1.0,1.0,0.0
2020.10.26.,0.0,-1.0,0.3333333333333333
2020.10.23.,-1.0,-1.0,-1.0
2020.10.22.,0.14285714285714285,-1.0,0.7777777777777778
2020.10.20.,1.0,1.0,0.2
2020.10.19.,-0.5,-1.0,-0.14285714285714285
2020.10.18.,-0.03571428571428571,-0.06666666666666667,0.22
2020.10.16.,-1.0,-1.0,-1.0
2020.10.15.,-0.14285714285714285,-1.0,0.6923076923076923
2020.10.14.,1.0,1.0,1.0
2020.10.13.,-0.1,1.0,-0.5238095238095238
2020.10.11.,-0.14285714285714285,0.33333333333333337,0.42857142857142855
2020.10.09.,1.0,-0.33333333333333326,1.0
2020.10.08.,1.0,-1.0,1.0
2020.10.06.,-0.6,-0.33333333333333337,-1.0
2020.10.05.,-0.02564102564102564,0.3333333333333333,-0.1111111111111111
2020.10.04.,0.4,-0.5,0.2727272727272727
2020.10.03.,-0.3333333333333333,-1.0,0.0
2020.09.29.,-0.01694915254237288,-0.6,0.375
2020.09.27.,-0.36,-0.2,-0.2
2020.09.26.,-0.3333333333333333,0.19999999999999996,0.3333333333333333
2020.09.24.,0.0,0.5999999999999999,-0.125
2020.09.23.,-0.8,1.0,-0.8
2020.09.22.,0.0,0.0,0.23076923076923078
2020.09.21.,-0.3617021276595745,-1.0,-0.6326530612244898
2020.09.20.,-0.3333333333333333,-1.0,-1.0
2020.09.18.,-1.0,-0.5,-0.6
2020.09.17.,-0.13333333333333333,0.0,-0.3793103448275862
2020.09.16.,0.004761904761904773,0.5,1.0
2020.09.15.,0.14285714285714285,1.0,-0.3333333333333333
2020.09.14.,0.42857142857142855,-1.0,0.42857142857142855
2020.09.13.,-1.0,-1.0,0.6
2020.09.11.,-0.14285714285714285,1.0,0.2
2020.09.10.,0.1111111111111111,-1.0,-0.1111111111111111
2020.09.09.,-1.0,-1.0,1.0
2020.09.08.,-0.2606060606060606,-1.0,-0.2892561983471074
2020.09.07.,-0.5555555555555556,1.0,0.2
2020.09.06.,1.0,0.0,-1.0
2020.09.05.,-0.5294117647058824,-1.0,-0.38461538461538464
2020.09.04.,0.7142857142857143,1.0,-0.2
2020.09.03.,0.3333333333333333,1.0,-0.42857142857142855
2020.09.02.,-0.7142857142857143,0.33333333333333337,-0.75
2020.09.01.,-1.0,-0.33333333333333326,-0.125
2020.08.31.,0.5,-1.0,0.5
2020.08.30.,0.0,0.0,0.0
2020.08.29.,0.3333333333333333,1.0,-1.0
2020.08.28.,-0.047619047619047616,0.75,-1.0
2020.08.27.,-0.42857142857142855,0.5,-0.5
2020.08.26.,1.0,0.0,1.0
2020.08.25.,-1.0,-0.5,-1.0
2020.08.24.,0.0,-1.0,0.0
2020.08.23.,-0.2,-1.0,-0.5714285714285714
2020.08.22.,-1.0,-1.0,1.0
2020.08.21.,-0.23076923076923078,-1.0,-0.22580645161290322
2020.08.20.,-0.06666666666666667,-0.25,0.3333333333333333
2020.08.19.,-0.3333333333333333,0.5,-0.46153846153846156
2020.08.18.,0.0,0.0,0.3333333333333333
2020.08.17.,0.42857142857142855,0.5714285714285714,0.38095238095238093
2020.08.16.,-0.5,0.2857142857142857,-0.3333333333333333
2020.08.15.,-0.5,0.0,0.45454545454545453
2020.08.14.,0.14285714285714285,1.0,0.0
2020.08.13.,-0.3333333333333333,0.6,-0.3333333333333333
2020.08.12.,-0.6521739130434783,0.2,-0.3333333333333333
2020.08.11.,-0.4117647058823529,0.6666666666666666,-0.4230769230769231
2020.08.10.,0.3333333333333333,-1.0,0.5555555555555556
2020.08.09.,-0.26956521739130435,0.3939393939393939,-0.514018691588785
2020.08.08.,0.5,0.030303030303030276,0.5
2020.08.07.,0.5714285714285714,-0.3333333333333333,0.8181818181818182
2020.08.06.,-0.0625,-0.5,0.07692307692307693
2020.08.05.,0.16,0.0,0.022222222222222223
2020.08.04.,-0.4166666666666667,0.5,-0.2222222222222222
2020.08.03.,0.4,1.0,0.17647058823529413
2020.08.02.,-1.0,0.3333333333333333,-1.0
2020.08.01.,0.6923076923076923,1.0,0.4
2020.07.31.,0.14285714285714285,0.7142857142857143,0.034482758620689655
2020.07.30.,-0.42342342342342343,0.7777777777777778,-0.44537815126050423
2020.07.29.,0.6,-0.3333333333333333,0.0
2020.07.28.,-0.2727272727272727,1.0,-0.14285714285714285
2020.07.27.,0.44,-0.2,0.15789473684210525
2020.07.26.,0.3333333333333333,0.3333333333333333,0.7777777777777778
2020.07.25.,-1.0,-1.0,0.0
2020.07.24.,0.07692307692307693,1.0,0.07692307692307693
2020.07.23.,-0.5,-0.3333333333333333,0.3333333333333333
2020.07.22.,0.0,-1.0,0.75
2020.07.21.,0.3333333333333333,0.0,0.3333333333333333
2020.07.20.,-0.2857142857142857,1.0,0.1111111111111111
2020.07.19.,-0.75,0.0,0.14285714285714285
2020.07.18.,0.2571428571428571,0.35714285714285715,-0.3739130434782609
2020.07.17.,0.2857142857142857,-1.0,-0.1111111111111111
2020.07.16.,0.16666666666666666,-0.6,-0.25
2020.07.15.,-0.5,-1.0,-1.0
2020.07.14.,0.18181818181818182,0.5,0.09090909090909091
2020.07.13.,-0.45454545454545453,1.0,-0.5714285714285714
2020.07.12.,-0.1111111111111111,0.0,-0.6923076923076923
2020.07.11.,-0.6,-1.0,-0.3333333333333333
2020.07.10.,-0.12,-0.2,0.16129032258064516
2020.07.09.,-0.5555555555555556,0.39999999999999997,-0.5
2020.07.08.,-0.030303030303030304,1.0,-0.1111111111111111
2020.07.07.,-0.3333333333333333,-0.6363636363636364,-0.2972972972972973
2020.07.06.,0.38461538461538464,-1.0,-0.28
2020.07.05.,0.5,-1.0,-0.23076923076923078
2020.07.04.,-0.5,-1.0,1.0
2020.07.03.,-0.3181818181818182,-0.17647058823529413,-0.3888888888888889
2020.07.02.,-0.5,1.0,-0.6
2020.07.01.,0.4375,0.0,0.45454545454545453
2020.06.30.,0.25,-1.0,0.14285714285714285
2020.06.29.,-0.14285714285714285,-0.6666666666666666,-0.6666666666666666
2020.06.28.,0.09090909090909091,-0.3333333333333333,-0.21739130434782608
2020.06.27.,0.0,0.3333333333333333,0.0
2020.06.26.,0.7142857142857143,1.0,-0.5
2020.06.25.,-0.1864406779661017,0.42857142857142855,-0.2830188679245283
2020.06.24.,-0.3191489361702128,0.8,-0.2857142857142857
2020.06.23.,0.05660377358490566,0.35873015873015873,-0.5416666666666666
2020.06.22.,0.7142857142857143,-0.08253968253968258,0.42857142857142855
2020.06.21.,-0.37254901960784315,-0.5238095238095238,-0.6385542168674698
2020.06.20.,0.3333333333333333,-0.39682539682539686,1.0
2020.06.19.,0.2727272727272727,-0.2698412698412698,-0.8666666666666667
2020.06.18.,-0.4375,-0.14285714285714285,-0.5625
2020.06.17.,-0.36585365853658536,0.14285714285714285,0.1724137931034483
2020.06.16.,0.037037037037037035,0.0,-0.6521739130434783
2020.06.15.,0.5,1.0,0.5
2020.06.14.,-0.03278688524590164,0.09090909090909091,-0.02702702702702703
2020.06.13.,-1.0,0.1717171717171717,-1.0
2020.06.12.,0.6,0.2525252525252525,0.42857142857142855
2020.06.11.,-0.25,0.3333333333333333,-0.7142857142857143
2020.06.10.,-0.043478260869565216,0.42857142857142855,0.1794871794871795
2020.06.09.,0.061224489795918366,0.6,-0.3469387755102041
2020.06.08.,-0.2727272727272727,-0.20000000000000007,0.0
2020.06.07.,-0.2,-1.0,0.0
2020.06.06.,-0.75,-1.0,0.3333333333333333
2020.06.05.,-0.3235294117647059,-1.0,-0.6949152542372882
2020.06.04.,0.25,1.0,1.0
2020.06.03.,0.3333333333333333,-1.0,1.0
2020.06.02.,-0.3793103448275862,-0.25,-0.5384615384615384
2020.06.01.,0.6470588235294118,1.0,0.8181818181818182
2020.05.31.,-0.4146341463414634,-0.42857142857142855,-0.7777777777777778
2020.05.30.,-0.2,-1.0,-0.3333333333333333
2020.05.29.,-0.2631578947368421,0.0,-0.3333333333333333
2020.05.28.,0.6,1.0,0.6666666666666666
2020.05.27.,0.1875,-0.5,-0.16666666666666666
2020.05.26.,-0.6666666666666666,0.25,-0.5
2020.05.25.,-0.4666666666666667,1.0,0.0
2020.05.24.,-0.6666666666666666,1.0,-0.6
2020.05.23.,-1.0,1.0,1.0
2020.05.22.,0.06666666666666667,0.5,0.23076923076923078
2020.05.21.,0.6,1.0,0.0
2020.05.20.,0.1111111111111111,0.0,-0.3333333333333333
2020.05.19.,-0.07142857142857142,-1.0,0.4482758620689655
2020.05.18.,-0.2,-0.5,-0.36363636363636365
2020.05.17.,0.10344827586206896,-0.3333333333333333,0.10344827586206896
2020.05.16.,0.0,0.08333333333333331,-0.5
2020.05.15.,-0.5555555555555556,0.5,-0.75
2020.05.14.,0.09302325581395349,-0.4,-0.05343511450381679
2020.05.13.,0.1111111111111111,-0.033333333333333326,0.2
2020.05.12.,0.5409836065573771,0.3333333333333333,0.2702702702702703
2020.05.11.,-0.5428571428571428,1.0,-0.47368421052631576
2020.05.10.,-1.0,0.8888888888888888,-0.14285714285714285
2020.05.09.,-0.3333333333333333,0.7777777777777778,-1.0
2020.05.08.,0.16666666666666666,0.6666666666666666,-0.3333333333333333
2020.05.07.,0.1951219512195122,0.2,-0.3968253968253968
2020.05.06.,0.7142857142857143,0.0,0.6666666666666666
2020.05.05.,-0.3333333333333333,1.0,-0.06666666666666667
2020.05.04.,0.0625,1.0,0.13043478260869565
2020.05.03.,-1.0,0.5,0.25
2020.05.02.,1.0,0.0,1.0
2020.05.01.,1.0,1.0,0.2
2020.04.30.,0.5,1.0,-0.6
2020.04.29.,0.2857142857142857,1.0,0.375
2020.04.28.,-0.5555555555555556,-1.0,-0.6363636363636364
2020.04.27.,-0.29411764705882354,-1.0,0.0
2020.04.26.,0.5686274509803921,0.6,0.15151515151515152
2020.04.25.,0.3333333333333333,0.8,0.5
2020.04.24.,0.09090909090909091,1.0,0.8
2020.04.23.,0.25,1.0,-0.42857142857142855
2020.04.22.,-0.6363636363636364,-1.0,-0.06666666666666667
2020.04.21.,0.05263157894736842,-0.42857142857142855,0.3157894736842105
2020.04.20.,-0.8181818181818182,1.0,-0.75
2020.04.19.,-0.24324324324324326,1.0,-0.875
2020.04.18.,0.42857142857142855,1.0,0.3333333333333333
2020.04.17.,-0.01098901098901099,0.0,0.1827956989247312
2020.04.16.,0.21212121212121213,-1.0,-0.11917098445595854
2020.04.15.,-0.8571428571428571,-1.0,-1.0
2020.04.14.,0.09090909090909091,-1.0,-0.8181818181818182
2020.04.13.,-0.14285714285714285,1.0,-0.4
2020.04.11.,0.2,0.5,0.6
2020.04.10.,-0.4166666666666667,0.0,0.125
2020.04.09.,-0.23076923076923078,-0.5,-0.6
2020.04.08.,0.5652173913043478,1.0,0.05263157894736842
2020.04.07.,-0.4492753623188406,-0.5,-0.15384615384615385
2020.04.06.,0.43209876543209874,1.0,0.2602739726027397
2020.04.05.,-1.0,0.6666666666666666,-1.0
2020.04.04.,0.5294117647058824,0.3333333333333333,0.2857142857142857
2020.04.03.,-0.09090909090909091,-1.0,-0.875
2020.04.02.,0.014925373134328358,0.6666666666666666,-0.16981132075471697
2020.04.01.,0.6666666666666666,1.0,0.3333333333333333
2020.03.31.,-0.373134328358209,1.0,0.02564102564102564
2020.03.30.,0.44680851063829785,1.0,-0.15384615384615385
2020.03.29.,-0.6923076923076923,0.0,-0.7777777777777778
2020.03.28.,-0.6,-1.0,-0.6
2020.03.27.,-0.56,0.2,-0.08571428571428572
2020.03.26.,-0.6666666666666666,0.0,0.0
2020.03.25.,-0.06666666666666667,-1.0,-0.4375
2020.03.24.,0.6571428571428571,0.6666666666666666,0.76
2020.03.23.,0.5555555555555556,1.0,0.1
2020.03.22.,-0.4444444444444444,0.0,0.0
2020.03.21.,-0.3333333333333333,-1.0,-0.42857142857142855
2020.03.20.,-0.4090909090909091,-0.75,-0.2222222222222222
2020.03.19.,0.2222222222222222,-0.3333333333333333,-0.2857142857142857
2020.03.18.,0.05555555555555555,-0.14285714285714285,-0.16129032258064516
2020.03.17.,0.45098039215686275,1.0,0.13513513513513514
2020.03.16.,-0.5882352941176471,0.3333333333333333,-0.5789473684210527
2020.03.15.,-0.45714285714285713,-1.0,-0.5094339622641509
2020.03.14.,-0.1111111111111111,0.42857142857142855,-0.30434782608695654
2020.03.13.,0.6551724137931034,0.0,-0.3333333333333333
